Product_ID,Product_Name,gross_profit,70_percentage_of_gross_profit,running_sum
6,Colorbuds,834944,2809820.3,834944
1,"Action Figure",347748,2809820.3,1182692
18,"Lego Bricks",298685,2809820.3,1481377
8,"Deck Of Cards",252102,2809820.3,1733479
14,"Glass Marbles",187590,2809820.3,1921069
3,"Barrel O' Slime",183326,2809820.3,2104395
17,"Kids Makeup Kit",146598,2809820.3,2250993
24,"Nerf Gun",132715,2809820.3,2383708
7,"Dart Gun",126352,2809820.3,2510060
11,"Etch A Sketch",121680,2809820.3,2631740
19,"Magic Sand",121196,2809820.3,2752936
